Name,Symbol,Date,High,Low,Open,Close,Volume
Ethereum,ETH,15/05/2017,95.430496,86.829201,90.784103,92.414902,170999008
Ethereum,ETH,16/05/2017,93.555099,89.117599,92.387703,89.438004,152284992
Ethereum,ETH,17/05/2017,91.269203,84.43,89.250298,89.860397,183031008
Ethereum,ETH,18/05/2017,97.368599,89.840401,89.840401,96.906303,196236992
Ethereum,ETH,19/05/2017,133.561996,97.052803,97.052803,129.526993,626945024
Ethereum,ETH,20/05/2017,133.641006,124.702003,129.222,126.521004,331455008
Ethereum,ETH,21/05/2017,159.026001,125.889,127.537003,157.936996,570361024
Ethereum,ETH,22/05/2017,201.746002,152.473999,158.173004,174.261002,1188909952
Ethereum,ETH,23/05/2017,183.548996,169.932007,170.817993,181.951996,530708992
Ethereum,ETH,24/05/2017,228.373993,182.447006,182.649002,190.046005,561014016
Ethereum,ETH,25/05/2017,210.983994,170.507004,189.848999,174.445999,943636992
Ethereum,ETH,26/05/2017,193.688004,150.278,175.216995,160.403,792457984
Ethereum,ETH,27/05/2017,166.951996,120.443001,159.817001,157.757996,1217059968
Ethereum,ETH,28/05/2017,179.934998,157.604004,158.817001,170.511002,717971008
Ethereum,ETH,29/05/2017,197.126007,164.529999,170.134995,194.908997,718828032
Ethereum,ETH,30/05/2017,233.710007,189.292999,195.613007,231.910995,1586669952
Ethereum,ETH,31/05/2017,236.964996,215.567993,231.578003,230.669006,1271600000
Ethereum,ETH,01/06/2017,236.220993,214.479996,230.886002,222.238998,812924032
Ethereum,ETH,02/06/2017,229.410995,219.584,222.285995,223.774994,469532000
Ethereum,ETH,03/06/2017,225.973007,219.419006,223.464005,224.376007,427896000
Ethereum,ETH,04/06/2017,250.410004,223.981003,224.117004,245.332001,753820032
Ethereum,ETH,05/06/2017,249.468994,243.048996,245.261993,248.464005,435660000
Ethereum,ETH,06/06/2017,267.514008,246.839005,248.598999,264.466003,741553024
Ethereum,ETH,07/06/2017,264.674011,254.039993,264.26001,258.071014,461648992
Ethereum,ETH,08/06/2017,262.252014,253.975006,257.990997,261.665985,385494016
Ethereum,ETH,09/06/2017,282.760986,261.748993,261.748993,281.737,557985984
Ethereum,ETH,10/06/2017,350.260986,282.014008,282.014008,337.667999,1611629952
Ethereum,ETH,11/06/2017,353.010986,318.17099,338.794006,340.609009,1373219968
Ethereum,ETH,12/06/2017,414.756012,341.164001,341.164001,401.48999,2882650112
Ethereum,ETH,13/06/2017,411.178009,370.057007,395.686005,397.536987,1717379968
Ethereum,ETH,14/06/2017,399.324005,342.214996,397.588989,359.053009,1272579968
Ethereum,ETH,15/06/2017,364.438995,300.700012,358.506989,361.933014,2463450112
Ethereum,ETH,16/06/2017,373.054993,341.416992,361.182007,370.22699,1096280064
Ethereum,ETH,17/06/2017,379.414001,364.002014,369.882996,379.414001,904652992
Ethereum,ETH,18/06/2017,390.580994,368.843994,379.519012,371.458008,904702976
Ethereum,ETH,19/06/2017,377.11499,369.763,371.864014,370.056,685171968
Ethereum,ETH,20/06/2017,377.968994,350.941986,370.326996,359.005005,1020390016
Ethereum,ETH,21/06/2017,361.342987,319.479004,359.540009,336.872009,1420130048
Ethereum,ETH,22/06/2017,342.027008,330.622009,337.733002,336.371002,925766976
Ethereum,ETH,23/06/2017,348.006012,334.98999,336.484985,341.739014,593206976
Ethereum,ETH,24/06/2017,343.621002,322.087006,341.625,323.696014,673585024
Ethereum,ETH,25/06/2017,332.791992,284.645996,323.466003,303.247986,1186880000
Ethereum,ETH,26/06/2017,311.458008,238.649002,302.954987,272.691986,2081810048
Ethereum,ETH,27/06/2017,293.088013,227.136993,272.691986,293.088013,1973869952
Ethereum,ETH,28/06/2017,333.104004,276.414001,293.041992,327.927002,2056550016
Ethereum,ETH,29/06/2017,330.708008,297.372986,328.365997,302.882996,1508579968
Ethereum,ETH,30/06/2017,315.171997,288.442993,303.152008,294.915985,1011800000
Ethereum,ETH,01/07/2017,293.747986,268.617004,293.352997,274.601013,1089200000
Ethereum,ETH,02/07/2017,295.509003,262.519989,275.122986,287.987,1123330048
Ethereum,ETH,03/07/2017,291.104004,281.175995,288.414001,282.89801,851408000
